SNo,Date,Account Name,Amount,Voucher No
2,01/05/2024, CASH,664,3545
3,13/05/2024, POS Billing,1850,REG1174
4,20/05/2024, POS Billing,54,REG1275
5,24/06/2024, POS Billing,4248,REG1764
6,01/07/2024, POS Billing,1751,REG1879
7,08/07/2024, POS Billing,1128,REG1992
8,30/07/2024, POS Billing,2638,REG2300
9,23/09/2024, POS Billing,2680,REG3101
10,11/11/2024, POS Billing,3945,REG3818
11,02/12/2024, POS Billing,1490,REG4107
12,01/05/2024, CASH,900,3545
13,06/05/2024, POS Billing,528,REG1057
14,20/05/2024, POS Billing,1120,REG1272
15,10/06/2024, POS Billing,762,REG1553
16,24/06/2024, POS Billing,790,REG1759
17,01/07/2024, POS Billing,1576,REG1876
18,15/07/2024, POS Billing,634,REG2097
19,30/07/2024, POS Billing,672,REG2296
20,12/08/2024, POS Billing,1116,REG2511
21,02/09/2024, POS Billing,688,REG2797
22,16/09/2024, POS Billing,602,REG2999
23,30/09/2024, POS Billing,1110,REG3207
24,07/10/2024, POS Billing,1168,REG3304
25,21/10/2024, POS Billing,998,REG3520
26,04/11/2024, POS Billing,1484,REG3708
27,18/11/2024, POS Billing,1540,REG3906
28,02/12/2024, POS Billing,2004,REG4109
29,01/05/2024, POS Billing,1043,REG984
30,01/05/2024, CASH,6980,3545
31,02/05/2024, POS Billing,582,REG1008
32,09/05/2024, POS Billing,606,REG1123
33,16/05/2024, POS Billing,631,REG1232
34,23/05/2024, POS Billing,400,REG1323
35,30/05/2024, POS Billing,470,REG1426
36,07/06/2024, POS Billing,539,REG1514
37,14/06/2024, POS Billing,587,REG1604
38,27/06/2024, POS Billing,790,REG1833
39,04/07/2024, POS Billing,692,REG1953
40,11/07/2024, POS Billing,461,REG2054
41,25/07/2024, POS Billing,481,REG2278
42,02/08/2024, POS Billing,693,REG2363
43,15/08/2024, POS Billing,908,REG2570
44,29/08/2024, POS Billing,722,REG2754
45,04/09/2024, POS Billing,320,REG2844
46,12/09/2024, POS Billing,1025,REG2958
47,19/09/2024, POS Billing,496,REG3060
48,26/09/2024, POS Billing,856,REG3165
49,03/10/2024, POS Billing,828,REG3256
50,10/10/2024, POS Billing,418,REG3379
51,17/10/2024, POS Billing,642,REG3480
52,24/10/2024, POS Billing,640.5,REG3579
53,30/10/2024, POS Billing,438,REG3670
54,07/11/2024, POS Billing,605,REG3769
55,14/11/2024, POS Billing,711,REG3877
56,21/11/2024, POS Billing,530,REG3954
57,28/11/2024, POS Billing,610,REG4046
58,05/12/2024, POS Billing,884,REG4180
59,01/05/2024, CASH,2500,3545
60,06/05/2024, POS Billing,2305,REG1074
61,14/05/2024, POS Billing,2591,REG1187
62,21/05/2024, POS Billing,1389,REG1289
63,27/05/2024, POS Billing,744,REG1377
64,04/06/2024, POS Billing,1999,REG1489
65,10/06/2024, POS Billing,1948,REG1563
66,18/06/2024, POS Billing,2081,REG1669
67,25/06/2024, POS Billing,847,REG1785
68,01/07/2024, POS Billing,1971,REG1899
69,08/07/2024, POS Billing,791,REG2010
70,16/07/2024, POS Billing,2722,REG2112
71,23/07/2024, POS Billing,1878,REG2230
72,30/07/2024, POS Billing,692,REG2307
73,06/08/2024, POS Billing,1787,REG2419
74,13/08/2024, POS Billing,1575,REG2523
75,27/08/2024, POS Billing,531,REG2708
76,03/09/2024, POS Billing,2429,REG2815
77,09/09/2024, POS Billing,3134,REG2914
78,17/09/2024, POS Billing,1986,REG3018
79,24/09/2024, POS Billing,1185,REG3112
80,30/09/2024, POS Billing,1776,REG3221
81,08/10/2024, POS Billing,2464,REG3330
82,15/10/2024, POS Billing,3135,REG3437
83,21/10/2024, POS Billing,1503,REG3536
84,28/10/2024, POS Billing,1555.5,REG3638
85,05/11/2024, POS Billing,576,REG3726
86,11/11/2024, POS Billing,2652.5,REG3824
87,18/11/2024, POS Billing,1378,REG3924
88,25/11/2024, POS Billing,1132,REG4007
89,02/12/2024, POS Billing,898,REG4126
90,09/12/2024, POS Billing,1738,REG4228
91,01/05/2024, CASH,5287,3545
92,06/05/2024, POS Billing,8185,REG1062
93,20/05/2024, POS Billing,11383,REG1278
